Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_SHORT,Att_SHORT,Cmp%_SHORT,Cmp_MED,Att_MED,Cmp%_MED,Cmp_LONG,Att_LONG,Cmp%_LONG,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Name_no_spec_chars
Marcos Acuña,ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,1426.0,1771.0,80.5,28082.0,11413.0,558.0,612.0,91.2,656.0,750.0,87.5,196.0,359.0,54.6,2,2.8,-0.8,33.0,110.0,36.0,18.0,122.0,Marcos Acuna
Che Adams,SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,443.0,633.0,70.0,7359.0,1633.0,227.0,302.0,75.2,143.0,184.0,77.7,51.0,73.0,69.9,5,5.8,-0.8,34.0,27.0,25.0,2.0,61.0,Che Adams
Tyler Adams,USA,DFMF,RB Leipzig,Bundesliga,21.0,1999.0,20.6,1184.0,1375.0,86.1,19562.0,5363.0,587.0,648.0,90.6,488.0,542.0,90.0,88.0,140.0,62.9,1,0.9,0.1,13.0,85.0,19.0,2.0,90.0,Tyler Adams
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27.0,1993.0,5.3,120.0,167.0,71.9,1955.0,473.0,61.0,79.0,77.2,42.0,51.0,82.4,12.0,20.0,60.0,3,1.8,1.2,12.0,6.0,8.0,1.0,14.0,Sargis Adamyan
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,1594.0,1824.0,87.4,37337.0,11928.0,304.0,340.0,89.4,934.0,985.0,94.8,346.0,470.0,73.6,0,0.4,-0.4,5.0,68.0,5.0,1.0,73.0,Tosin Adarabioyo
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21.0,1999.0,0.4,7.0,10.0,70.0,99.0,1.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bobby Adekanye
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,1346.0,1629.0,82.6,27385.0,6812.0,507.0,569.0,89.1,561.0,646.0,86.8,245.0,347.0,70.6,5,4.7,0.3,53.0,148.0,24.0,4.0,142.0,Yacine Adli
Andrea Adorante,ITA,FW,Parma,Serie A,20.0,2000.0,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Adorante
Adrián,ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,76.0,99.0,76.8,2031.0,1135.0,16.0,16.0,100.0,37.0,38.0,97.4,21.0,43.0,48.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrian
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24.0,1996.0,17.3,520.0,727.0,71.5,9660.0,4691.0,229.0,273.0,83.9,225.0,299.0,75.3,57.0,121.0,47.1,1,0.9,0.1,12.0,40.0,16.0,8.0,45.0,Martin Agirregabiria
