Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Riccardo Calafiori,ITA,DF,Roma,Serie A,18.0,2002.0,0.7,56.0,2.0,22.0,26.0,12.0,1.0,48.0,0.0,1.0,0.0,0.0,0.0,32.0,210.0,128.0,5.0,1.0,0.0,3.0,1.0,34.0,31.0,91.2,1.0,Riccardo Calafiori
Mattia Caldara,ITA,DF,Atalanta,Serie A,26.0,1994.0,1.2,71.0,6.0,34.0,36.0,5.0,3.0,69.0,0.0,0.0,,0.0,0.0,45.0,228.0,64.0,4.0,1.0,0.0,0.0,0.0,37.0,36.0,97.3,1.0,Mattia Caldara
Luca Caldirola,ITA,DF,Benevento,Serie A,29.0,1991.0,17.5,923.0,156.0,546.0,422.0,41.0,13.0,864.0,0.0,0.0,,0.0,0.0,492.0,3793.0,2467.0,50.0,10.0,0.0,1.0,1.0,613.0,596.0,97.2,4.0,Luca Caldirola
Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,23.0,1996.0,31.3,2180.0,304.0,1239.0,1015.0,46.0,18.0,2116.0,3.0,3.0,100.0,3.0,0.0,1326.0,6412.0,3369.0,68.0,7.0,0.0,7.0,1.0,1566.0,1528.0,97.6,4.0,Duje Caleta Car
Hakan Çalhanoğlu,TUR,MFFW,Milan,Serie A,26.0,1994.0,29.0,1987.0,31.0,210.0,921.0,983.0,85.0,1733.0,35.0,58.0,60.3,36.0,3.0,1289.0,6999.0,3786.0,217.0,71.0,25.0,55.0,40.0,1705.0,1401.0,82.2,203.0,Hakan Calhanoglu
Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,17.0,2002.0,3.3,174.0,12.0,62.0,88.0,31.0,5.0,147.0,3.0,10.0,30.0,3.0,1.0,98.0,485.0,219.0,11.0,1.0,1.0,3.0,4.0,114.0,92.0,80.7,7.0,Kerim Calhanoglu
Fabrizio Caligara,ITA,MF,Cagliari,Serie A,20.0,2000.0,2.0,98.0,8.0,29.0,44.0,30.0,1.0,91.0,1.0,4.0,25.0,1.0,0.0,46.0,174.0,84.0,4.0,2.0,0.0,1.0,5.0,68.0,55.0,80.9,2.0,Fabrizio Caligara
Daniel Caligiuri,ITA,MFFW,Augsburg,Bundesliga,32.0,1988.0,29.6,1641.0,66.0,374.0,815.0,574.0,47.0,1409.0,63.0,94.0,67.0,68.0,2.0,1009.0,5385.0,3008.0,133.0,56.0,10.0,67.0,69.0,1164.0,900.0,77.3,133.0,Daniel Caligiuri
José Callejón,ESP,FWMF,Fiorentina,Serie A,33.0,1987.0,7.4,337.0,9.0,32.0,171.0,158.0,17.0,317.0,5.0,7.0,71.4,5.0,1.0,235.0,1061.0,544.0,31.0,12.0,1.0,6.0,10.0,320.0,246.0,76.9,39.0,Jose Callejon
Jonathan Calleri,ARG,FW,Osasuna,La Liga,26.0,1993.0,17.2,594.0,9.0,39.0,281.0,304.0,93.0,564.0,21.0,42.0,50.0,23.0,1.0,348.0,1401.0,746.0,49.0,11.0,10.0,46.0,41.0,838.0,427.0,51.0,113.0,Jonathan Calleri
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,23.0,1997.0,31.9,1067.0,43.0,96.0,480.0,545.0,156.0,1049.0,20.0,46.0,43.5,22.0,3.0,555.0,3007.0,1148.0,63.0,22.0,19.0,113.0,50.0,1604.0,823.0,51.3,207.0,Dominic Calvert Lewin
Dani Calvo,ESP,DF,Elche,La Liga,26.0,1994.0,19.8,930.0,131.0,572.0,391.0,20.0,10.0,902.0,2.0,2.0,100.0,2.0,0.0,528.0,3032.0,1466.0,25.0,1.0,0.0,3.0,2.0,595.0,580.0,97.5,1.0,Dani Calvo
