Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Matches,Name_no_spec_chars
Rafael,BRA,GK,Spezia,Serie A,38.0,1982.0,2.3,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Rafael
Rafinha,BRA,MF,Paris S-G,Ligue 1,27.0,1993.0,15.1,56.0,3.7,37.0,6.0,2.0,4.0,4.0,3.0,7.0,0.46,5.0,0.0,0.0,0.0,1.0,1.0,Matches,Rafinha
Antonio Raimondo,ITA,FW,Bologna,Serie A,16.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Antonio Raimondo
Predrag Rajković,SRB,GK,Reims,Ligue 1,24.0,1995.0,36.5,6.0,0.16,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Predrag Rajkovic
Ivan Rakitić,CRO,MF,Sevilla,La Liga,32.0,1988.0,24.8,54.0,2.18,45.0,4.0,0.0,1.0,2.0,2.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,Matches,Ivan Rakitic
Jonás Ramalho,ESP,DF,Osasuna,La Liga,27.0,1993.0,3.4,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Jonas Ramalho
Benito Raman,BEL,FWMF,Schalke 04,Bundesliga,25.0,1994.0,13.8,29.0,2.09,21.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Benito Raman
Gastón Ramírez,URU,MFFW,Sampdoria,Serie A,29.0,1990.0,10.8,44.0,4.09,27.0,9.0,1.0,0.0,5.0,2.0,8.0,0.74,5.0,2.0,0.0,0.0,0.0,1.0,Matches,Gaston Ramirez
Sandro Ramírez,ESP,FWMF,Huesca,La Liga,25.0,1995.0,14.3,28.0,1.96,17.0,0.0,2.0,4.0,4.0,1.0,4.0,0.28,3.0,0.0,0.0,0.0,0.0,1.0,Matches,Sandro Ramirez
Sergio Ramos,ESP,DF,Real Madrid,La Liga,34.0,1986.0,14.2,9.0,0.64,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Sergio Ramos
Aaron Ramsdale,ENG,GK,Sheffield Utd,Premier League,22.0,1998.0,38.0,8.0,0.21,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aaron Ramsdale
Aaron Ramsey,WAL,MF,Juventus,Serie A,29.0,1990.0,12.1,58.0,4.79,46.0,5.0,2.0,1.0,3.0,1.0,7.0,0.58,5.0,0.0,0.0,0.0,1.0,1.0,Matches,Aaron Ramsey
Jacob Ramsey,ENG,MF,Aston Villa,Premier League,19.0,2001.0,7.0,14.0,2.01,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Jacob Ramsey
Kayne Ramsey,ENG,DF,Southampton,Premier League,19.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayne Ramsey
Darren Randolph,IRL,GK,West Ham,Premier League,33.0,1987.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Darren Randolph
Andrea Ranocchia,ITA,DF,Inter,Serie A,32.0,1988.0,7.8,5.0,0.64,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Andrea Ranocchia
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,22.0,1997.0,32.4,105.0,3.24,75.0,0.0,16.0,5.0,9.0,0.0,18.0,0.55,15.0,0.0,2.0,0.0,1.0,0.0,Matches,Marcus Rashford
Milot Rashica,KVX,FWMF,Werder Bremen,Bundesliga,24.0,1996.0,16.2,42.0,2.59,30.0,0.0,8.0,3.0,1.0,0.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,Matches,Milot Rashica
