Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Sergio Agüero,ARG,FWMF,Manchester City,Premier League,32.0,1988.0,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,13.9,0.0,1,2,3.4,1.8,0.11,0.6,1.2,Sergio Aguero
Ruben Aguilar,FRA,DFFW,Monaco,Ligue 1,27.0,1993.0,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0.0,0,0,1.2,1.2,0.15,-0.2,-0.2,Ruben Aguilar
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18.0,2002.0,2.8,0,5,1,20.0,1.79,0.36,0.0,0.0,22.4,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Naouirou Ahamada
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21.0,1999.0,10.0,2,11,6,54.5,1.1,0.6,0.18,0.33,21.8,0.0,0,0,1.6,1.6,0.14,0.4,0.4,Matteo Ahlinvi
Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20.0,2000.0,1.4,0,1,0,0.0,0.7,0.0,0.0,,4.1,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2,Cheikh Ahmadou Dieng
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26.0,1994.0,23.8,2,31,6,19.4,1.3,0.25,0.06,0.33,20.9,0.0,0,0,2.3,2.0,0.06,-0.3,0.0,Jean Eudes Aholou
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26.0,1994.0,0.4,0,2,1,50.0,5.0,2.5,0.0,0.0,15.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Jean Eudes Aholou
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24.0,1995.0,14.3,0,9,0,0.0,0.63,0.0,0.0,,14.6,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,Joseph Aidoo
Ola Aina,NGA,DF,Fulham,Premier League,23.0,1996.0,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,25.2,1.0,0,0,1.0,1.0,0.07,1.0,1.0,Ola Aina
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19.0,2001.0,2.1,0,1,0,0.0,0.48,0.0,0.0,,14.8,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Rayan Ait Nouri
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19.0,2001.0,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0.0,0,0,0.6,0.6,0.04,0.4,0.4,Rayan Ait Nouri
Semi Ajayi,NGA,DF,West Brom,Premier League,26.0,1993.0,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9.0,0.0,0,0,1.3,1.3,0.1,0.7,0.7,Semi Ajayi
