Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31.0,1988.0,2.3,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,30.0,6.0,20.0,3.0,18.0,9.0,1.0,0.0,0.0,1.0,0,1.0,2.0,0.0,Diego Costa
Douglas Costa,BRA,FWMF,Bayern Munich,Bundesliga,29.0,1990.0,3.6,2.0,2,1.0,1.0,0.0,0.0,2.0,0.0,2.0,67.0,18.0,26.9,5.0,32.0,30.0,8.0,1.0,0.0,7.0,3,5.0,0.0,0.0,Douglas Costa
Douglas Costa,BRA,MFFW,Juventus,Serie A,29.0,1990.0,0.5,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,1.0,12.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,Douglas Costa
Hélder Costa,POR,MFFW,Leeds United,Premier League,26.0,1994.0,12.8,30.0,15,14.0,7.0,9.0,9.0,32.0,28.1,23.0,265.0,72.0,27.2,93.0,102.0,70.0,19.0,0.0,0.0,19.0,6,36.0,9.0,0.0,Helder Costa
Jaume Costa,ESP,DFMF,Villarreal,La Liga,32.0,1988.0,3.9,11.0,3,6.0,5.0,0.0,5.0,8.0,62.5,3.0,42.0,15.0,35.7,11.0,23.0,8.0,10.0,1.0,0.0,9.0,8,19.0,12.0,0.0,Jaume Costa
Charles Costes,FRA,MF,Dijon,Ligue 1,17.0,2002.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Charles Costes
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33.0,1987.0,38.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,16.7,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,3.0,0.0,Benoit Costil
Vladimír Coufal,CZE,DF,West Ham,Premier League,27.0,1992.0,33.9,77.0,41,57.0,17.0,3.0,44.0,93.0,47.3,49.0,457.0,126.0,27.6,247.0,140.0,70.0,74.0,5.0,0.0,69.0,39,116.0,122.0,1.0,Vladimir Coufal
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28.0,1991.0,10.9,7.0,6,0.0,3.0,4.0,2.0,5.0,40.0,3.0,79.0,18.0,22.8,1.0,38.0,40.0,5.0,2.0,0.0,3.0,3,10.0,11.0,0.0,Kalifa Coulibaly
Lassana Coulibaly,MLI,MFFW,Angers,Ligue 1,24.0,1996.0,18.7,81.0,56,35.0,35.0,11.0,24.0,67.0,35.8,43.0,468.0,157.0,33.5,167.0,248.0,53.0,28.0,6.0,0.0,22.0,36,117.0,41.0,1.0,Lassana Coulibaly
Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21.0,1999.0,2.0,10.0,7,4.0,6.0,0.0,0.0,2.0,0.0,2.0,36.0,6.0,16.7,8.0,24.0,4.0,3.0,1.0,0.0,2.0,1,11.0,0.0,0.0,Mamadou Coulibaly
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25.0,1994.0,21.5,33.0,23,27.0,5.0,1.0,8.0,25.0,32.0,17.0,217.0,64.0,29.5,134.0,72.0,11.0,35.0,12.0,0.0,23.0,40,73.0,114.0,1.0,Senou Coulibaly
Tanguy Coulibaly,FRA,DFFW,Stuttgart,Bundesliga,19.0,2001.0,16.7,38.0,20,18.0,8.0,12.0,14.0,30.0,46.7,16.0,362.0,94.0,26.0,93.0,136.0,133.0,26.0,0.0,0.0,26.0,7,45.0,15.0,0.0,Tanguy Coulibaly
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28.0,1992.0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,5.0,Thibaut Courtois
Philippe Coutinho,BRA,MFFW,Barcelona,La Liga,28.0,1992.0,7.3,7.0,6,2.0,4.0,1.0,2.0,5.0,40.0,3.0,65.0,20.0,30.8,14.0,29.0,22.0,4.0,0.0,0.0,4.0,4,11.0,1.0,0.0,Philippe Coutinho
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21.0,1999.0,15.2,39.0,18,28.0,10.0,1.0,19.0,38.0,50.0,19.0,182.0,50.0,27.5,105.0,56.0,21.0,35.0,12.0,0.0,23.0,21,60.0,51.0,0.0,Nicolas Cozza
Alessio Cragno,ITA,GK,Cagliari,Serie A,26.0,1994.0,34.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,1.0,14.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,Alessio Cragno
Gian Crespi,ITA,GK,Crotone,Serie A,19.0,2001.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Gian Crespi
Aaron Cresswell,ENG,DF,West Ham,Premier League,30.0,1989.0,35.2,31.0,13,15.0,14.0,2.0,14.0,34.0,41.2,20.0,230.0,67.0,29.1,122.0,90.0,18.0,48.0,14.0,0.0,34.0,36,67.0,98.0,0.0,Aaron Cresswell
Domenico Criscito,ITA,DF,Genoa,Serie A,33.0,1986.0,19.2,43.0,27,31.0,9.0,3.0,10.0,28.0,35.7,18.0,238.0,71.0,29.8,131.0,94.0,13.0,27.0,14.0,0.0,13.0,35,78.0,77.0,1.0,Domenico Criscito
Bryan Cristante,ITA,DFMF,Roma,Serie A,25.0,1995.0,23.9,38.0,31,17.0,18.0,3.0,8.0,26.0,30.8,18.0,375.0,108.0,28.8,133.0,172.0,70.0,29.0,9.0,0.0,20.0,34,72.0,76.0,2.0,Bryan Cristante
Giovanni Crociata,ITA,DFMF,Crotone,Serie A,22.0,1997.0,0.3,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,12.0,1.0,8.3,3.0,7.0,2.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,Giovanni Crociata
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28.0,1992.0,21.8,33.0,17,16.0,15.0,2.0,18.0,32.0,56.3,14.0,228.0,65.0,28.5,103.0,92.0,33.0,48.0,6.0,1.0,42.0,10,43.0,59.0,1.0,Juan Cruz Armada
Juan Cuadrado,COL,DFMF,Juventus,Serie A,32.0,1988.0,24.2,42.0,21,24.0,13.0,5.0,14.0,40.0,35.0,26.0,287.0,84.0,29.3,134.0,93.0,60.0,35.0,2.0,0.0,33.0,31,73.0,22.0,1.0,Juan Cuadrado
Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24.0,1996.0,24.9,81.0,62,32.0,39.0,10.0,35.0,86.0,40.7,51.0,667.0,232.0,34.8,295.0,320.0,52.0,42.0,10.0,0.0,32.0,57,138.0,32.0,1.0,Adrian Cubas
Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20.0,1999.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sergio Cubero Ezcurra
Cucho,COL,FWMF,Getafe,La Liga,21.0,1999.0,16.3,19.0,10,1.0,15.0,3.0,1.0,19.0,5.3,18.0,319.0,74.0,23.2,31.0,169.0,119.0,19.0,1.0,0.0,18.0,5,24.0,8.0,0.0,Cucho
Marc Cucurella,ESP,MF,Getafe,La Liga,22.0,1998.0,36.0,70.0,48,24.0,37.0,9.0,20.0,56.0,35.7,36.0,771.0,235.0,30.5,196.0,387.0,188.0,69.0,4.0,0.0,65.0,54,124.0,40.0,0.0,Marc Cucurella
Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20.0,1999.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,Mickael Cuisance
Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20.0,1999.0,11.4,26.0,17,9.0,12.0,5.0,7.0,31.0,22.6,24.0,305.0,79.0,25.9,75.0,155.0,75.0,14.0,0.0,0.0,14.0,7,33.0,8.0,0.0,Mickael Cuisance
