Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
427,[GENOA] ,Valon Behrami ,5.984,957
428,[ATALANTA] ,Luis Muriel ,5.929,1533
429,[HELLAS VERONA] ,Ivor Pandur ,5.893,351
430,[HELLAS VERONA] ,Ebrima Colley ,5.887,811
431,[BENEVENTO] ,Iago Falque ,5.886,396
432,[GENOA] ,Francesco Cassata ,5.829,245
433,[BENEVENTO] ,Lorenzo Montipo' ,5.791,3554
434,[INTER] ,Stefano Sensi ,5.783,641
435,[LAZIO] ,Gonzalo Escalante ,5.773,813
436,[HELLAS VERONA] ,Marco Silvestri ,5.766,3254
437,[CROTONE] ,Alex Cordaz ,5.753,3429
438,[NAPOLI] ,Eljif Elmas ,5.743,854
439,[UDINESE] ,Juan Musso ,5.716,3350
440,[UDINESE] ,Jean-Victor Makengo ,5.698,572
441,[BOLOGNA] ,Federico Ravaglia ,5.696,380
442,[CROTONE] ,Gian Marco Crespi ,5.682,92
443,[FIORENTINA] ,Borja Valero ,5.639,553
444,[TORINO] ,Daniele Baselli ,5.622,456
445,[FIORENTINA] ,Jose' Callejon ,5.552,724
446,[CAGLIARI] ,Kwadwo Asamoah ,5.483,266
447,[SPEZIA] ,Jeroen Zoet ,5.474,651
448,[BOLOGNA] ,Andri Fannar Baldursson ,5.456,234
449,[NAPOLI] ,Faouzi Ghoulam ,5.417,320
450,[FIORENTINA] ,Pietro Terracciano ,5.379,287
451,[MILAN] ,Ciprian Tatarusanu ,5.351,96
452,[BENEVENTO] ,Nicolo' Manfredini ,5.349,95
453,[SPEZIA] ,Ivan Provedel ,5.333,2776
454,[UDINESE] ,Jayden Braaf ,5.326,126
455,[FIORENTINA] ,Antonio Barreca ,5.296,95
456,[BENEVENTO] ,Andres Tello ,5.257,468
457,[ROMA] ,Pau Lopez ,5.256,1940
458,[GENOA] ,Mattia Perin ,5.241,3044
459,[ATALANTA] ,Aleksej Miranchuk ,5.22,745
460,[SAMPDORIA] ,Ernesto Torregrossa ,5.208,184
461,[SASSUOLO] ,Gianluca Pegolo ,5.202,96
462,,Stefano Denswil ,5.176,131
463,[SAMPDORIA] ,Mehdi Leris ,5.142,451
464,[CAGLIARI] ,Guglielmo Vicario ,5.078,384
465,[ATALANTA] ,Marco Sportiello ,5.05,1329
466,[SAMPDORIA] ,Emil Audero ,5.047,3525
467,[LAZIO] ,Thomas Strakosha ,5.033,867
468,[LAZIO] ,Pepe Reina ,5.015,2781
469,[HELLAS VERONA] ,Kevin Ruegg ,5.007,227
470,,Simone Edera ,5.004,60
471,[MILAN] ,Gianluigi Donnarumma ,4.988,3550
472,[TORINO] ,Samir Ujkani ,4.983,95
473,[CROTONE] ,Antonio Mazzotta ,4.97,60
474,,Lubomir Tupta ,4.966,55
475,[CROTONE] ,Marco Festa ,4.966,99
476,[NAPOLI] ,Alex Meret ,4.965,2111
477,[GENOA] ,Yayah Kallon ,4.956,51
478,[CAGLIARI] ,Alessio Cragno ,4.953,3268
479,[BOLOGNA] ,Andrea Poli ,4.913,433
480,[ROMA] ,Daniel Fuzato ,4.874,472
481,[BOLOGNA] ,Angelo Da Costa ,4.873,568
482,[GENOA] ,Alberto Paleari ,4.853,231
483,[FIORENTINA] ,Bartlomiej Dragowski ,4.845,3360
484,[JUVENTUS] ,Gianluigi Buffon ,4.843,759
